CustomerID,ProductRating,ServiceRating,OverallSatisfaction,RecommendationScore
1,1,4,3,2
2,3,2,4,7
3,1,5,5,1
4,1,2,3,6
5,5,1,2,2
6,4,2,2,6
7,3,5,5,5
8,5,2,5,10
9,4,1,3,6
10,4,1,2,0
11,2,2,4,3
12,2,5,2,2
13,1,5,3,2
14,1,3,2,9
15,2,5,4,10
16,5,4,2,7
17,3,5,4,5
18,5,4,1,5
19,4,4,4,0
20,4,3,4,0
21,5,3,5,9
22,1,5,2,3
23,4,5,2,7
24,5,4,5,1
25,2,3,2,10
26,3,3,1,8
27,5,5,3,2
28,3,1,2,5
29,1,1,4,0
30,5,1,1,1
31,1,3,4,0
32,4,1,4,7
33,3,1,1,7
34,3,5,1,5
35,4,5,2,8
36,5,2,3,1
37,2,1,4,5
38,2,4,4,6
39,3,1,1,7
40,5,1,3,0
41,3,1,4,6
42,3,1,1,4
43,1,5,2,1
44,2,5,2,4
45,5,1,5,2
46,3,2,5,2
47,5,2,2,1
48,5,1,1,0
49,5,4,1,9
50,2,5,5,1
